date,close,series
2017-11-14,23409.47,DJIA
2017-11-15,23271.28,DJIA
2017-11-16,23458.36,DJIA
2017-11-17,23358.24,DJIA
2017-11-20,23430.33,DJIA
2017-11-21,23590.83,DJIA
2017-11-22,23526.18,DJIA
2017-11-23,,DJIA
2017-11-24,23557.99,DJIA
2017-11-27,23580.78,DJIA
2017-11-28,23836.71,DJIA
2017-11-29,23940.68,DJIA
2017-11-30,24272.35,DJIA
2017-12-01,24231.59,DJIA
2017-12-04,24290.05,DJIA
2017-12-05,24180.64,DJIA
2017-12-06,24140.91,DJIA
2017-12-07,24211.48,DJIA
2017-12-08,24329.16,DJIA
2017-12-11,24386.03,DJIA
2017-12-12,24504.8,DJIA
2017-12-13,24585.43,DJIA
2017-12-14,24508.66,DJIA
2017-12-15,24651.74,DJIA
2017-12-18,24792.2,DJIA
2017-12-19,24754.75,DJIA
2017-12-20,24726.65,DJIA
2017-12-21,24782.29,DJIA
2017-12-22,24754.06,DJIA
2017-12-25,,DJIA
2017-12-26,24746.21,DJIA
2017-12-27,24774.3,DJIA
2017-12-28,24837.51,DJIA
2017-12-29,24719.22,DJIA
2018-01-01,,DJIA
2018-01-02,24824.01,DJIA
2018-01-03,24922.68,DJIA
2018-01-04,25075.13,DJIA
2018-01-05,25295.87,DJIA
2018-01-08,25283.0,DJIA
2018-01-09,25385.8,DJIA
2018-01-10,25369.13,DJIA
2018-01-11,25574.73,DJIA
2018-01-12,25803.19,DJIA
2018-01-15,,DJIA
2018-01-16,25792.86,DJIA
2018-01-17,26115.65,DJIA
2018-01-18,26017.81,DJIA
2018-01-19,26071.72,DJIA
2018-01-22,26214.6,DJIA
2018-01-23,26210.81,DJIA
2018-01-24,26252.12,DJIA
2018-01-25,26392.79,DJIA
2018-01-26,26616.71,DJIA
2018-01-29,26439.48,DJIA
2018-01-30,26076.89,DJIA
2018-01-31,26149.39,DJIA
2018-02-01,26186.71,DJIA
2018-02-02,25520.96,DJIA
2018-02-05,24345.75,DJIA
2018-02-06,24912.77,DJIA
2018-02-07,24893.35,DJIA
2018-02-08,23860.46,DJIA
2018-02-09,24190.9,DJIA
2018-02-12,24601.27,DJIA
2018-02-13,24640.45,DJIA
2018-02-14,24893.49,DJIA
2018-02-15,25200.37,DJIA
2018-02-16,25219.38,DJIA
2018-02-19,,DJIA
2018-02-20,24964.75,DJIA
2018-02-21,24797.78,DJIA
2018-02-22,24962.48,DJIA
2018-02-23,25309.99,DJIA
2018-02-26,25709.27,DJIA
2018-02-27,25410.03,DJIA
2018-02-28,25029.2,DJIA
2018-03-01,24608.98,DJIA
2018-03-02,24538.06,DJIA
2018-03-05,24874.76,DJIA
2018-03-06,24884.12,DJIA
2018-03-07,24801.36,DJIA
2018-03-08,24895.21,DJIA
2018-03-09,25335.74,DJIA
2018-03-12,25178.61,DJIA
2018-03-13,25007.03,DJIA
2018-03-14,24758.12,DJIA
2018-03-15,24873.66,DJIA
2018-03-16,24946.51,DJIA
2018-03-19,24610.91,DJIA
2018-03-20,24727.27,DJIA
2018-03-21,24682.31,DJIA
2018-03-22,23957.89,DJIA
2018-03-23,23533.2,DJIA
2018-03-26,24202.6,DJIA
2018-03-27,23857.71,DJIA
2018-03-28,23848.42,DJIA
